Weights,Prices,Capacity
[46 40 42 38 10],[12 19 19 15  8],40
[11 31  4  6  7],[ 2  8 18 16  3],64
[32 49 27 37 24],[19 16 16  4  1],87
[20 35 22 23 16],[19 17 19  9  1],21
[ 7 12 19 13 20],[10 11 18 15  5],50
[27 10 25 25  7],[13 19  7 16  3],66
[21  2 33 45 26],[ 1 14 10  6 13],80
[37 27 39 14 25],[18  7 15  4 13],35
[ 1 48  4 23 39],[ 9  4 10 16 12],51
[ 4  3 22  9 32],[14  6  3 17  8],53
[11 10 25 34 13],[16  3  4 18  3],98
[18 47 20  9 39],[ 7  4 17 19  3],67
[34 46 20 45  3],[ 6  6 10  2 14],92
[28 21  7 48 47],[ 3 19  1 15 18],82
[27 18 11 32 47],[10  4 12  4  1],18
[36 41  1 46 40],[17  6  1 10  8],42
[42 24 41 28 31],[16 15 12 19  1],44
[10 37 24 25 41],[ 1  6 19  9  1],92
[22 30 16 18 37],[10 16 16 17 12],63
[40 35 24 28 27],[19 13 16  3  2],86
[ 4  4 21 23 38],[18 11 18  1 18],86
[29 28 46 37 15],[2 3 3 1 5],58
[26 14  6 34  1],[18  7 17  3  9],36
[42 47 37 13 15],[ 6 10 16  8 18],76
[16 24 29 22  5],[10  6 13  8  8],83
[20  2 17 14  2],[1 4 8 9 5],95
[21  9  9  8  6],[5 2 9 7 6],73
[48 41 21 29 16],[11  9  5  1  7],85
[16  1 11  1  1],[ 8  3  6  6 12],30
[18 26  4 22 35],[13 14  1 14  3],61
[24 41 22 18 26],[ 2 11  3 11  5],45
[18  2 19 19 28],[ 9 15  7  3  7],73
[41 33  4 23 38],[17  4  2 12 17],38
[ 6 29 39 10 36],[14  2  3 12 17],66
[25 38 49 33 11],[11 15  5 13  1],15
[14 24  9 47 17],[ 9  9 18 17 10],72
[ 2 39 30  6 20],[13 14  1 10 15],60
[19 25  1 35 22],[18  3  8  2  4],37
[29 47 43 30 43],[ 1  9 17  6  4],79
[42 27 11 42 15],[5 1 1 8 5],72
[ 4 10 42 24 12],[ 4  9  3 17 17],49
[20 26 46 22 48],[17  9 11 14  3],21
[17 10 17  2 14],[12 19  4 15  7],52
[31  5 49 13 49],[ 6 11 15 14  4],49
[31  5 14  3 12],[ 9  8 14 12  8],18
[39 42 32 38 29],[ 2  7  7 12 11],24
[27 42 47 47 27],[15 15  7 19 19],35
[15 40  8 32 21],[ 8  8 13 12  9],43
[ 8 29 23 10 44],[ 6  7  1 18 12],55
[43  3 49 41 27],[ 1 12 15 17  5],91
[ 8  8 32 37 40],[14 17  3 14 10],74
[28  9 48 35 34],[12  1  3 15 13],78
[33  4 19 13 26],[ 2 19  9 11 19],39
[40 44 29 30 36],[18 11  8  8  7],16
[15 20  3 11 28],[10 11  5  5  2],15
[38 16 45 28 28],[ 6 13  2 19 12],50
[32 22 27 18 42],[13 16 13 12  8],91
[42 49 21 42  1],[11  3  1 16 16],79
[15 18 17 45 36],[19  6  5  3 14],70
[16 47 27 47 48],[13  7 14 19  8],90
[ 5 19 42 34 43],[ 4 18  9  8 17],93
[38 25 24 15 28],[ 5 19  4 19 12],46
[45  1 17  9 36],[ 4 12 19 10 13],16
[29 17 23 16  8],[ 3 16 14 18 18],95
[44 20  3 14 17],[13 15 16 13 16],49
[48  1  6 22 31],[ 5 10  7  5  8],84
[10 39 39 42 19],[12  1 16  4 12],23
[30 17  1  6 32],[10  3 19 12  5],39
[45  1 46 25 23],[18 18 19 14 10],56
[ 8 27  5 17 35],[5 9 2 9 9],28
[15 20  4 49 20],[18 16 12 17 12],95
[34 13 21 17 28],[10  1  4 11  9],37
[36 12 13  4 31],[ 7 15  3 10 14],71
[13 47 49 42 43],[11  6 10  5  2],93
[49 44 42  6 17],[18  1 10  6 11],75
[17 23 16 42  1],[12  9  2  5 15],68
[43  4 16 36 18],[13 18 12 17 15],95
[ 5 39 22 16 35],[ 4  3 11  8  6],94
[14 47 31  7 44],[6 7 8 1 8],23
[49 14 28 17 19],[ 9 14  9  9 10],94
[36 45 10 35 47],[18 11 16 13  9],51
[22 29  5 34 25],[12  4 11 16  8],74
[ 5 25  7 39  9],[ 3  7  8 11  3],83
[36 16 43 39 35],[ 9 11 15 17 15],45
[38 20  9 35 12],[ 6 15  1 16 12],66
[17 15 27 34 23],[17 11 15  1  5],33
[ 3 23 34 34  5],[ 4 12  6 10 10],22
[ 5 21 48 31 42],[ 6  2 11 13  1],39
[19 10 19 49 36],[12  5  7 17  8],78
[30 24 29 11 46],[ 7  9  7 17  5],95
[18 37 13 30 28],[15 12 18  7 12],96
[24 19 45 35 23],[14  8 10  7  8],85
[ 1 21 29 42 31],[ 1 15  1 10 13],16
[37 44 36 31 18],[17  9  7  5  5],92
[27 46 19 35 25],[12  7 17 16 18],71
[ 9 17 27 47 44],[ 1 13 17 17 11],63
[20 17 23 11 42],[ 4 18  6 14  3],36
[ 6  8 20 22 18],[18 15 12 18 18],96
[41  5  4 24 15],[ 7 19  7  4  8],15
[23 14 32 47  8],[ 5  6  5 16 13],50
[24 21 32 40 28],[ 8 13  2  4 11],29
[25  4 28 42 41],[ 6 12  5  9 14],81
[12  2  3  6 44],[13 14  9  5  6],35
[15 27 17 11 21],[14 18  3  1 15],81
[20 12 27 38 35],[ 4 16 13 12 10],84
[19 36 46 38 21],[17  9 16  9 15],46
[15 34 17 29 47],[ 7 19  8  6  2],19
[16 49 37 21 38],[14  9  5  3 19],60
[34 16 33 35 19],[ 9  9  2 12 13],17
[25 28  1 39  9],[2 7 2 1 1],31
[ 1 14 17 21 33],[ 2 15 17  4 14],47
[30 24 19 31 29],[ 3  7 14 16 18],78
[ 1 34 16 49 27],[10 18  6 12 18],92
[46 28 30 43  4],[16 19 16 16 15],69
[16 34 29  6 48],[18 18  4  6 17],20
[ 4  2 20 18 40],[ 4 18  7  1 15],64
[39 46 34 16  7],[10 14 19  9  5],67
[40 26 13 35 47],[13 17 18 16  1],84
[30 36 19 29 13],[15  4  5  4 19],80
[10 21 42 25 17],[ 9  6  3  4 17],55
[18 33 25 36 10],[19 18  4 16  2],15
[11 39 48  2 24],[16  1  9 18 17],47
[35 26 44  5 13],[18  1  7  2 17],70
[47 22 36 15 21],[15  4  6  2  5],36
[35 41 42 25 42],[ 5  1  3 13 10],44
[22 19 45 27 49],[12  8  5  8 13],76
[ 8 22  3  3 20],[ 2 18  7 13 14],34
[20 10 36 36 44],[ 9 18 13 11 12],28
[42 13 16  2 34],[ 3  4  5 11  2],34
[10 49 26 45 10],[19  8 10  1  9],83
[27 21 25 13 39],[10 16 15 17  4],34
[16 42 38 38  5],[14  9 10 18 17],40
[15  4 36  6 41],[ 5  1  3 10  7],42
[ 1 41 47  7 26],[ 1  6 15  6 16],86
[45 41 17 14 44],[14 12 17 18  9],60
[15 43 36 35 23],[ 9 10 16 15  7],44
[ 7 44 15  8 21],[ 7  1  3 15  6],87
[14  1  2  4  5],[ 3  2  9 15 10],72
[26  4 47 40 35],[17  1  8  1 18],31
[24 48  4 27 18],[14 17 10  3 13],54
[ 3  2 22 20  1],[13  8 14 14  4],53
[19 41 40 23 12],[4 2 1 5 3],70
[24 34 13 24 49],[16 19 12 13  9],92
[14  2 43 31 16],[ 7 11  1  2 19],93
[10  4  3 48 18],[12  3 10  5 11],77
[43  8 44 19 24],[ 9 18  2 18 19],36
[14 46  1 33 37],[ 1 10 14  3  6],80
[48 14 15 11  1],[ 8 13  6 16 12],52
[11 38 30 46 24],[ 4  6 12 11  2],22
[29  4 28 25  1],[13 13  3 18 12],58
[ 9  7 29  5 22],[ 6  8  9  7 13],59
[48 28 42 13 37],[19  9  3  3  8],75
[13 30  7 28 45],[ 9 11  6  8  7],82
[15 37 41 29 24],[ 8 15  9  3  3],44
[ 8 42 33 17  4],[ 8 19 14  4  2],20
[43  6  8  8 23],[ 8 18  7  1 14],68
[34 39 41 45  7],[19 14  2 14  4],23
[33 24 11 45 23],[ 8  5  1 10 16],72
[ 9 18 14 31 35],[11  1 16  1 17],76
[43  7 33  3 11],[ 8 16 13 17  3],77
[20 38 49 19 40],[12  2  3  8 12],74
[21  5 35  3 26],[13  8  7 15 14],52
